product,product_uri,material_cost,price_unit,waste_pct,transport_pct,delivered_material_cost,material_cost_low,material_cost_high,delivered_material_cost_low,delivered_material_cost_high,onsite_labor_hours_per_unit,onsite_labor_hours_low,onsite_labor_hours_high,offsite_labor_hours_per_unit,offsite_labor_hours_low,offsite_labor_hours_high,material_low_pct,material_high_pct,labor_low_pct,labor_high_pct,provenance_status,demolition_hours_per_unit,demolition_disposal_cost,observation_count,reference_sources
BMP-OTH,https://example.org/abstract/beam-product/BMP-OTH,72.0,m,0.05,0.06,80.1,63.4,85.0,70.5,94.5,2.88,2.59,3.6,,,,-0.12,0.18,-0.1,0.25,estimated,0.2,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
BMP-RC,https://example.org/abstract/beam-product/BMP-RC,72.0,m,0.05,0.06,80.1,63.4,85.0,70.5,94.5,2.88,2.59,3.6,,,,-0.12,0.18,-0.1,0.25,estimated,0.2,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
BMP-STEEL,https://example.org/abstract/beam-product/BMP-STEEL,214.7,m,0.05,0.06,239.0,188.9,253.3,210.3,282.0,0.73,0.66,0.91,,,,-0.12,0.18,-0.1,0.25,estimated,0.2,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
BMP-TIMBER,https://example.org/abstract/beam-product/BMP-TIMBER,96.0,m,0.05,0.06,106.8,84.5,113.3,94.0,126.0,0.64,0.58,0.8,,,,-0.12,0.18,-0.1,0.25,estimated,0.2,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
CCP-GYPSUM-BOARD,https://example.org/abstract/ceiling-covering-product/CCP-GYPSUM-BOARD,26.0,m2,0.08,0.03,28.9,22.9,30.7,25.4,34.1,0.9,0.81,1.12,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
CCP-METAL-GRID,https://example.org/abstract/ceiling-covering-product/CCP-METAL-GRID,40.0,m2,0.08,0.03,44.5,35.2,47.2,39.2,52.5,0.8,0.72,1.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
CCP-METAL-PANEL,https://example.org/abstract/ceiling-covering-product/CCP-METAL-PANEL,54.0,m2,0.08,0.03,60.1,47.5,63.7,52.9,70.9,1.2,1.08,1.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
CCP-METAL-SHEET,https://example.org/abstract/ceiling-covering-product/CCP-METAL-SHEET,46.0,m2,0.08,0.03,51.2,40.5,54.3,45.1,60.4,1.1,0.99,1.38,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
CCP-MINERAL-FIBRE,https://example.org/abstract/ceiling-covering-product/CCP-MINERAL-FIBRE,31.0,m2,0.08,0.03,34.5,27.3,36.6,30.4,40.7,0.7,0.63,0.88,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
CCP-OTH,https://example.org/abstract/ceiling-covering-product/CCP-OTH,33.0,m2,0.08,0.03,36.7,29.0,38.9,32.3,43.3,1.0,0.9,1.25,,,,-0.12,0.18,-0.1,0.25,estimated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
CCP-SYNTHETIC,https://example.org/abstract/ceiling-covering-product/CCP-SYNTHETIC,37.0,m2,0.08,0.03,41.2,32.6,43.7,36.3,48.6,1.0,0.9,1.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
CCP-WOOD,https://example.org/abstract/ceiling-covering-product/CCP-WOOD,62.0,m2,0.08,0.03,69.0,54.6,73.2,60.7,81.4,1.4,1.26,1.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
CLP-OTH,https://example.org/abstract/column-product/CLP-OTH,420.0,m3,0.05,0.06,467.5,369.6,495.6,411.4,551.6,18.0,16.2,22.5,,,,-0.12,0.18,-0.1,0.25,estimated,1.0,16.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
CLP-RC,https://example.org/abstract/column-product/CLP-RC,420.0,m3,0.05,0.06,467.5,369.6,495.6,411.4,551.6,18.0,16.2,22.5,,,,-0.12,0.18,-0.1,0.25,estimated,1.0,16.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
CLP-STEEL,https://example.org/abstract/column-product/CLP-STEEL,19000.0,m3,0.05,0.06,21147.0,16720.0,22420.0,18609.4,24953.5,70.0,63.0,87.5,,,,-0.12,0.18,-0.1,0.25,estimated,1.0,16.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
CLP-TIMBER,https://example.org/abstract/column-product/CLP-TIMBER,1200.0,m3,0.05,0.06,1335.6,1056.0,1416.0,1175.3,1576.0,8.0,7.2,10.0,,,,-0.12,0.18,-0.1,0.25,estimated,1.0,16.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
DCP-GATE,https://example.org/abstract/door-connector-product/DCP-GATE,200.0,m2,0.02,0.04,212.2,176.0,236.0,186.7,250.4,0.56,0.5,0.7,,,,-0.12,0.18,-0.1,0.25,estimated,0.26,7.9,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
DCP-GLASS,https://example.org/abstract/door-connector-product/DCP-GLASS,466.7,m2,0.02,0.04,495.1,410.7,550.7,435.7,584.2,1.67,1.5,2.09,,,,-0.12,0.18,-0.1,0.25,estimated,0.26,7.9,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
DCP-METAL,https://example.org/abstract/door-connector-product/DCP-METAL,285.7,m2,0.02,0.04,303.1,251.4,337.1,266.7,357.7,1.32,1.19,1.65,,,,-0.12,0.18,-0.1,0.25,estimated,0.26,7.9,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
DCP-OTH,https://example.org/abstract/door-connector-product/DCP-OTH,195.8,m2,0.02,0.04,207.7,172.3,231.0,182.8,245.1,1.06,0.95,1.33,,,,-0.12,0.18,-0.1,0.25,estimated,0.26,7.9,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
DCP-PVC,https://example.org/abstract/door-connector-product/DCP-PVC,121.7,m2,0.02,0.04,129.1,107.1,143.6,113.6,152.3,0.63,0.57,0.79,,,,-0.12,0.18,-0.1,0.25,estimated,0.26,7.9,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
DCP-SPECIAL,https://example.org/abstract/door-connector-product/DCP-SPECIAL,783.1,m2,0.02,0.04,830.7,689.1,924.1,731.0,980.2,2.12,1.91,2.65,,,,-0.12,0.18,-0.1,0.25,estimated,0.26,7.9,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
DCP-WOOD,https://example.org/abstract/door-connector-product/DCP-WOOD,153.4,m2,0.02,0.04,162.7,135.0,181.0,143.2,192.0,0.79,0.71,0.99,,,,-0.12,0.18,-0.1,0.25,estimated,0.26,7.9,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
DCP-WOOD-METAL,https://example.org/abstract/door-connector-product/DCP-WOOD-METAL,370.4,m2,0.02,0.04,392.9,326.0,437.1,345.8,463.6,1.16,1.04,1.45,,,,-0.12,0.18,-0.1,0.25,estimated,0.26,7.9,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-ARTIFICIAL-STONE,https://example.org/abstract/floor-covering-product/FCP-ARTIFICIAL-STONE,70.0,m2,0.07,0.03,77.1,61.6,82.6,67.8,91.0,1.6,1.44,2.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-CARPET,https://example.org/abstract/floor-covering-product/FCP-CARPET,23.0,m2,0.07,0.03,25.3,20.2,27.1,22.3,29.9,0.5,0.45,0.62,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-CERAMIC-TILE,https://example.org/abstract/floor-covering-product/FCP-CERAMIC-TILE,39.0,m2,0.07,0.03,43.0,34.3,46.0,37.8,50.7,1.4,1.26,1.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-LAMINATE,https://example.org/abstract/floor-covering-product/FCP-LAMINATE,18.0,m2,0.07,0.03,19.8,15.8,21.2,17.4,23.4,0.5,0.45,0.62,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-LINOLIUM,https://example.org/abstract/floor-covering-product/FCP-LINOLIUM,28.0,m2,0.07,0.03,30.9,24.6,33.0,27.2,36.5,0.7,0.63,0.88,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-LVT,https://example.org/abstract/floor-covering-product/FCP-LVT,26.0,m2,0.07,0.03,28.7,22.9,30.7,25.3,33.9,0.6,0.54,0.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-NATURAL-STONE,https://example.org/abstract/floor-covering-product/FCP-NATURAL-STONE,115.0,m2,0.07,0.03,126.7,101.2,135.7,111.5,149.5,2.2,1.98,2.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-OTH,https://example.org/abstract/floor-covering-product/FCP-OTH,28.0,m2,0.07,0.03,30.9,24.6,33.0,27.2,36.5,0.8,0.72,1.0,,,,-0.12,0.18,-0.1,0.25,estimated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-PARQUET,https://example.org/abstract/floor-covering-product/FCP-PARQUET,53.0,m2,0.07,0.03,58.4,46.6,62.5,51.4,68.9,1.1,0.99,1.38,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-RAISED-FLOOR,https://example.org/abstract/floor-covering-product/FCP-RAISED-FLOOR,65.0,m2,0.07,0.03,71.6,57.2,76.7,63.0,84.5,1.5,1.35,1.88,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-SEAMLESS-RESIN,https://example.org/abstract/floor-covering-product/FCP-SEAMLESS-RESIN,45.0,m2,0.07,0.03,49.6,39.6,53.1,43.6,58.5,1.2,1.08,1.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FCP-SUBFLOOR,https://example.org/abstract/floor-covering-product/FCP-SUBFLOOR,20.0,m2,0.07,0.03,22.0,17.6,23.6,19.4,26.0,0.6,0.54,0.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.3,5.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-DRAINAGE,https://example.org/abstract/foundation-product/FDP-DRAINAGE,73.3,m3,0.05,0.06,81.6,64.5,86.5,71.8,96.3,2.0,1.8,2.5,,,,-0.12,0.18,-0.1,0.25,estimated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-MICRO-PILE,https://example.org/abstract/foundation-product/FDP-MICRO-PILE,320.0,m3,0.05,0.06,356.2,281.6,377.6,313.5,420.3,9.0,8.1,11.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-OTH,https://example.org/abstract/foundation-product/FDP-OTH,150.0,m3,0.05,0.06,167.0,132.0,177.0,147.0,197.1,4.0,3.6,5.0,,,,-0.12,0.18,-0.1,0.25,estimated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-PAD,https://example.org/abstract/foundation-product/FDP-PAD,160.0,m3,0.05,0.06,178.1,140.8,188.8,156.7,210.2,4.5,4.05,5.62,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-PILE,https://example.org/abstract/foundation-product/FDP-PILE,170.0,m3,0.05,0.06,189.2,149.6,200.6,166.5,223.3,5.0,4.5,6.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-RAFT,https://example.org/abstract/foundation-product/FDP-RAFT,155.0,m3,0.05,0.06,172.5,136.4,182.9,151.8,203.5,3.5,3.15,4.38,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-RETAINING,https://example.org/abstract/foundation-product/FDP-RETAINING,175.0,m3,0.05,0.06,194.8,154.0,206.5,171.4,229.9,6.0,5.4,7.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-STRIP,https://example.org/abstract/foundation-product/FDP-STRIP,150.0,m3,0.05,0.06,167.0,132.0,177.0,147.0,197.1,4.0,3.6,5.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FDP-WATERPROOF,https://example.org/abstract/foundation-product/FDP-WATERPROOF,93.3,m3,0.05,0.06,103.8,82.1,110.1,91.3,122.5,3.0,2.7,3.75,,,,-0.12,0.18,-0.1,0.25,estimated,1.2,18.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-BIPV-INTEGRATED,https://example.org/abstract/facade-covering-product/FaCP-BIPV-INTEGRATED,340.0,m2,0.08,0.04,381.9,299.2,401.2,336.1,450.6,3.5,3.15,4.38,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-BRICK-SLIP,https://example.org/abstract/facade-covering-product/FaCP-BRICK-SLIP,105.0,m2,0.08,0.04,117.9,92.4,123.9,103.8,139.1,2.4,2.16,3.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-CERAMIC-VENTILATED,https://example.org/abstract/facade-covering-product/FaCP-CERAMIC-VENTILATED,130.0,m2,0.08,0.04,146.0,114.4,153.4,128.5,172.3,2.5,2.25,3.12,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-EXTERIOR-PAINT-COATING,https://example.org/abstract/facade-covering-product/FaCP-EXTERIOR-PAINT-COATING,13.0,m2,0.08,0.04,14.6,11.4,15.3,12.8,17.2,0.5,0.45,0.62,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-FIBER-CEMENT-BOARD,https://example.org/abstract/facade-covering-product/FaCP-FIBER-CEMENT-BOARD,70.0,m2,0.08,0.04,78.6,61.6,82.6,69.2,92.7,1.8,1.62,2.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-HPL-PANEL,https://example.org/abstract/facade-covering-product/FaCP-HPL-PANEL,120.0,m2,0.08,0.04,134.8,105.6,141.6,118.6,159.1,1.8,1.62,2.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-METAL-COMPOSITE-PANEL,https://example.org/abstract/facade-covering-product/FaCP-METAL-COMPOSITE-PANEL,110.0,m2,0.08,0.04,123.6,96.8,129.8,108.8,145.8,1.6,1.44,2.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-METAL-SHEET-STANDING-SEAM,https://example.org/abstract/facade-covering-product/FaCP-METAL-SHEET-STANDING-SEAM,78.0,m2,0.08,0.04,87.6,68.6,92.0,77.1,103.4,1.8,1.62,2.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-NATURAL-STONE-VENTILATED,https://example.org/abstract/facade-covering-product/FaCP-NATURAL-STONE-VENTILATED,195.0,m2,0.08,0.04,219.0,171.6,230.1,192.7,258.4,3.2,2.88,4.0,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-OTHER,https://example.org/abstract/facade-covering-product/FaCP-OTHER,74.0,m2,0.08,0.04,83.1,65.1,87.3,73.1,98.1,2.0,1.8,2.5,,,,-0.12,0.18,-0.1,0.25,estimated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-PREFAB-MODULAR-METAL,https://example.org/abstract/facade-covering-product/FaCP-PREFAB-MODULAR-METAL,370.0,m2,0.08,0.04,415.6,325.6,436.6,365.7,490.4,0.8,0.72,1.0,4.5,4.05,5.62,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-PREFAB-MODULAR-TIMBER,https://example.org/abstract/facade-covering-product/FaCP-PREFAB-MODULAR-TIMBER,310.0,m2,0.08,0.04,348.2,272.8,365.8,306.4,410.9,1.0,0.9,1.25,4.0,3.6,5.0,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-RENDER-ETICS-WDVS,https://example.org/abstract/facade-covering-product/FaCP-RENDER-ETICS-WDVS,54.0,m2,0.08,0.04,60.7,47.5,63.7,53.4,71.6,2.2,1.98,2.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-RETROFIT-OVERCLADDING,https://example.org/abstract/facade-covering-product/FaCP-RETROFIT-OVERCLADDING,145.0,m2,0.08,0.04,162.9,127.6,171.1,143.4,192.2,2.8,2.52,3.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-SYNTHETIC-VENTILATED,https://example.org/abstract/facade-covering-product/FaCP-SYNTHETIC-VENTILATED,62.0,m2,0.08,0.04,69.6,54.6,73.2,61.2,82.1,1.5,1.35,1.88,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
FaCP-TIMBER-VENTILATED,https://example.org/abstract/facade-covering-product/FaCP-TIMBER-VENTILATED,90.0,m2,0.08,0.04,101.1,79.2,106.2,89.0,119.3,2.0,1.8,2.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.6,9.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RAP-BALUSTER,https://example.org/abstract/railing-product/RAP-BALUSTER,140.0,m,0.03,0.04,150.0,123.2,165.2,132.0,177.0,1.2,1.08,1.5,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RAP-CABLE-MESH,https://example.org/abstract/railing-product/RAP-CABLE-MESH,160.0,m,0.03,0.04,171.4,140.8,188.8,150.8,202.3,1.4,1.26,1.75,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RAP-GLASS-FRAMED,https://example.org/abstract/railing-product/RAP-GLASS-FRAMED,260.0,m,0.03,0.04,278.5,228.8,306.8,245.1,328.6,1.5,1.35,1.88,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RAP-GLASS-POINT,https://example.org/abstract/railing-product/RAP-GLASS-POINT,420.0,m,0.03,0.04,449.9,369.6,495.6,395.9,530.9,2.0,1.8,2.5,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RAP-HANDRAIL,https://example.org/abstract/railing-product/RAP-HANDRAIL,55.0,m,0.03,0.04,58.9,48.4,64.9,51.8,69.5,0.6,0.54,0.75,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RAP-OTH,https://example.org/abstract/railing-product/RAP-OTH,150.0,m,0.03,0.04,160.7,132.0,177.0,141.4,189.6,1.3,1.17,1.62,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RAP-PARAPET-SOLID,https://example.org/abstract/railing-product/RAP-PARAPET-SOLID,90.0,m,0.03,0.04,96.4,79.2,106.2,84.8,113.8,2.5,2.25,3.12,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RAP-PERFORATED-METAL,https://example.org/abstract/railing-product/RAP-PERFORATED-METAL,180.0,m,0.03,0.04,192.8,158.4,212.4,169.7,227.5,1.3,1.17,1.62,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RAP-TIMBER,https://example.org/abstract/railing-product/RAP-TIMBER,120.0,m,0.03,0.04,128.5,105.6,141.6,113.1,151.6,1.3,1.17,1.62,,,,-0.12,0.18,-0.1,0.25,estimated,0.25,3.0,2,"Editorial first-fill estimate (pragmatic BIM), anchored on DE_MU trade material rates and installed-rate labour splits; no external reference dataset consulted yet"
RCP-FLAT-BITUMEN,https://example.org/abstract/roof-covering-product/RCP-FLAT-BITUMEN,42.0,m2,0.07,0.04,46.7,37.0,49.6,41.1,55.1,1.5,1.35,1.88,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-FLAT-LIQUID,https://example.org/abstract/roof-covering-product/RCP-FLAT-LIQUID,55.0,m2,0.07,0.04,61.2,48.4,64.9,53.9,72.2,1.4,1.26,1.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-FLAT-SINGLE-PLY,https://example.org/abstract/roof-covering-product/RCP-FLAT-SINGLE-PLY,38.0,m2,0.07,0.04,42.3,33.4,44.8,37.2,49.9,1.2,1.08,1.5,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-GREEN-EXTENSIVE,https://example.org/abstract/roof-covering-product/RCP-GREEN-EXTENSIVE,70.0,m2,0.07,0.04,77.9,61.6,82.6,68.6,91.9,1.8,1.62,2.25,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
RCP-GREEN-INTENSIVE,https://example.org/abstract/roof-covering-product/RCP-GREEN-INTENSIVE,130.0,m2,0.07,0.04,144.7,114.4,153.4,127.3,170.7,3.0,2.7,3.75,,,,-0.12,0.18,-0.1,0.25,reference_calibrated,0.5,8.0,2,BKI Baukosten Bauelemente Neubau 2026 + manufacturer/trade net EUR list prices (DE 2026)
